Soil_Moisture_m3_m3	Evapotranspiration_mm
0.2884583333333333	0.0558333333333333
0.2897916666666666	0.1591666666666666
0.230625	0.1520833333333333
0.2390833333333333	0.1525
0.256	0.1075
0.2626666666666666	0.1008333333333333
0.257625	0.08875
0.1649166666666666	0.2341666666666666
0.163875	0.2183333333333333
0.1617083333333333	0.2258333333333333
0.1735	0.2016666666666666
0.2592916666666666	0.1904166666666666
0.2847083333333333	0.1675
0.252625	0.0820833333333333
0.242	0.1620833333333333
0.2607916666666667	0.18375
0.219125	0.1766666666666666
0.1803749999999999	0.2366666666666666
0.1475	0.2683333333333333
0.21075	0.2175
0.174625	0.2141666666666667
0.1841666666666666	0.2262499999999999
0.1579166666666666	0.2262499999999999
0.161375	0.2291666666666666
0.2342083333333333	0.1866666666666666
0.1860416666666666	0.2370833333333333
0.1361666666666666	0.2016666666666666
0.1424166666666666	0.2179166666666666
0.2947916666666667	0.0629166666666666
0.26675	0.2208333333333333
0.1580833333333333	0.2145833333333333
0.162	0.14625
0.2725	0.1183333333333333
0.2310416666666666	0.15375
0.2287916666666666	0.1504166666666666
0.2821666666666667	0.1166666666666666
0.282125	0.2279166666666666
0.2502916666666666	0.17125
0.2944166666666666	0.1741666666666666
0.2605	0.2420833333333333
0.229625	0.1025
0.18825	0.2004166666666666
0.2382083333333333	0.2429166666666666
0.1979999999999999	0.2204166666666666
0.2931249999999999	0.1125
0.2215833333333333	0.19875
0.277875	0.2058333333333333
0.2338333333333333	0.2133333333333333
0.2155416666666666	0.1670833333333333
0.2021666666666667	0.1883333333333333
0.2092916666666666	0.1245833333333333
0.2473333333333333	0.0708333333333333
0.2375833333333333	0.1491666666666666
0.219625	0.1816666666666666
0.18625	0.2195833333333333
0.1737083333333333	0.2104166666666666
0.1591666666666666	0.1716666666666666
0.1486666666666666	0.1908333333333333
0.1980416666666666	0.1504166666666666
0.2105	0.08375
0.2005	0.1495833333333333
0.1795833333333333	0.11125
0.1580416666666666	0.14375
0.1547083333333333	0.1295833333333333
0.222	0.0833333333333333
0.2989166666666666	0.0570833333333333
0.2995833333333333	0.0825
0.2823333333333333	0.0779166666666666
0.2827916666666666	0.07375
0.2873333333333333	0.0891666666666666
0.249375	0.1266666666666666
0.1722083333333333	0.1441666666666666
0.17425	0.13
0.27225	0.1141666666666666
0.252125	0.14875
0.244375	0.1195833333333333
0.278125	0.1325
0.2374583333333333	0.1445833333333333
0.239	0.11125
0.2294583333333333	0.1245833333333333
0.2234583333333333	0.1604166666666666
0.2133333333333333	0.1325
0.1791249999999999	0.175
0.229	0.165
0.236375	0.1454166666666666
0.2208333333333333	0.1304166666666666
0.206125	0.1720833333333333
0.1832916666666666	0.2191666666666666
0.167	0.1966666666666666
0.1505833333333333	0.2066666666666666
0.1920416666666666	0.17875
0.1810416666666666	0.2183333333333333
0.1650833333333333	0.2670833333333333
0.15	0.2879166666666666
0.164875	0.2116666666666666
0.143625	0.2395833333333333
0.149875	0.2708333333333333
0.1567916666666666	0.2825
0.1858333333333333	0.1808333333333333
0.171	0.2312499999999999
0.177125	0.1987499999999999
0.2417083333333333	0.1754166666666666
0.2746666666666666	0.2208333333333333
0.2210416666666666	0.32
0.1909583333333333	0.2212499999999999
0.206875	0.1204166666666666
0.237	0.15625
0.216875	0.1479166666666666
0.2136666666666666	0.1987499999999999
0.1897916666666666	0.17375
0.19575	0.0858333333333333
0.200875	0.1716666666666666
0.1653333333333333	0.1829166666666666
0.1465416666666666	0.2158333333333333
0.241125	0.12125
0.2156249999999999	0.1758333333333333
0.29075	0.1366666666666667
0.2677916666666667	0.1254166666666666
0.2639583333333333	0.0875
0.245375	0.0566666666666666
0.2954583333333333	0.0545833333333333
0.2955833333333333	0.0275
0.2985	0.0675
0.2961249999999999	0.1208333333333333
0.28475	0.1404166666666666
0.191125	0.1475
0.2192083333333333	0.0925
0.1826666666666666	0.1845833333333333
0.14175	0.1825
0.2535	0.1808333333333333
0.1638333333333333	0.2479166666666666
0.167875	0.1683333333333333
0.2341666666666666	0.1666666666666666
0.1989583333333333	0.1704166666666666
0.2456666666666666	0.19375
0.274875	0.1575
0.2178333333333333	0.1354166666666666
0.2069166666666666	0.1975
0.1418333333333333	0.1795833333333333
0.1504166666666666	0.2008333333333333
0.2723333333333333	0.2108333333333333
0.1521249999999999	0.2458333333333333
0.1770416666666666	0.2291666666666666
0.2627083333333333	0.2133333333333333
0.170875	0.19625
0.167125	0.24125
0.1656666666666666	0.2341666666666666
0.294	0.0970833333333333
0.2906666666666667	0.22125
0.1505833333333333	0.2804166666666667
0.1797083333333333	0.19125
0.16275	0.2383333333333333
0.2428333333333333	0.1904166666666666
0.1763749999999999	0.15875
0.1692083333333333	0.2216666666666666
0.1564583333333333	0.2229166666666666
0.144	0.2066666666666666
0.1424166666666666	0.2679166666666666
0.1402083333333333	0.23625
0.1389583333333333	0.25
0.29025	0.0920833333333333
0.2977083333333333	0.1408333333333333
0.2412083333333333	0.1629166666666666
0.2514166666666667	0.12875
0.2157916666666667	0.1075
0.2239583333333333	0.0970833333333333
0.2018333333333333	0.0720833333333333
0.1640416666666666	0.1183333333333333
0.1568333333333333	0.1475
0.1643333333333333	0.0620833333333333
0.1670833333333333	0.0733333333333333
0.166875	0.0974999999999999
0.2210416666666666	0.0574999999999999
0.2745416666666667	0.04
0.2271666666666666	0.0304166666666666
0.25925	0.0229166666666666
0.293375	0.0625
0.272875	0.09125
0.2659166666666667	0.0925
0.2620833333333333	0.0770833333333333
0.2721666666666666	0.1166666666666666
0.2677083333333334	0.0791666666666666
0.2479166666666666	0.11
0.2365833333333333	0.0920833333333333
0.2275833333333333	0.07125
0.2009583333333333	0.1454166666666666
0.2234583333333333	0.0916666666666666
0.2204583333333333	0.1541666666666666
0.172625	0.1949999999999999
0.1614166666666666	0.22875
0.1526249999999999	0.2520833333333333
0.288125	0.1266666666666666
0.2845	0.0754166666666666
0.28525	0.1904166666666666
0.2772083333333333	0.2033333333333333
0.225375	0.1225
0.1952083333333333	0.27375
0.1548333333333333	0.3141666666666666
0.1501249999999999	0.2383333333333333
0.2140416666666666	0.1504166666666666
0.1455833333333333	0.3341666666666666
0.1698333333333333	0.1975
0.1559583333333333	0.2204166666666666
0.2465416666666666	0.1141666666666666
0.1622916666666666	0.1883333333333333
0.149	0.21875
0.1557916666666666	0.2079166666666666
0.1658333333333333	0.2133333333333333
0.2218333333333333	0.1775
0.2147083333333333	0.1504166666666666
0.1491249999999999	0.2312499999999999
0.1567083333333333	0.1475
